Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Repollo,1 feb - 31 may,120,47,2.94,40,1.18,,96.59,105.07,115.43,35.37,,,,,,,,0.00,"1,134.93","1,234.57","1,356.30",415.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"1,134.93","1,234.57","1,356.30",415.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Repollo,1 mar - 30 jun,120,47,2.94,60,1.76,,,82.32,83.71,117.53,40.13,,,,,,,0.00,0.00,"1,450.89","1,475.39","2,071.47",707.29,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"1,450.89","1,475.39","2,071.47",707.29,0.00,0.00,0.00,0.00,0.00,0.00
Cilantro,1 feb - 15 may,105,820,51.25,40,20.50,,96.54,99.35,106.05,51.87,,,,,,,,0.00,"19,790.70","20,366.75","21,740.25","10,633.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"19,790.70","20,366.75","21,740.25","10,633.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cilantro,1 mar - 15 jun,105,820,51.25,60,30.75,,,82.27,77.56,107.71,59.25,,,,,,,0.00,0.00,"25,298.03","23,849.70","33,120.83","18,219.38",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"25,298.03","23,849.70","33,120.83","18,219.38",0.00,0.00,0.00,0.00,0.00,0.00
Otras Hortalizas,1 ene - 30 abr,120,"2,400",150.00,30,45.00,90.96,114.23,132.61,113.64,,,,,,,,,"40,932.00","51,403.50","59,674.50","51,138.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"40,932.00","51,403.50","59,674.50","51,138.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Otras Hortalizas,1 may - 31 ago,120,"2,400",150.00,30,45.00,,,,,56.25,93.23,132.76,111.14,,,,,0.00,0.00,0.00,0.00,"25,312.50","41,953.50","59,742.00","50,013.00",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"25,312.50","41,953.50","59,742.00","50,013.00",0.00,0.00,0.00,0.00
Otras Hortalizas,1 sep - 31 dic,120,"2,400",150.00,40,60.00,,,,,,,,,21.35,29.38,85.73,122.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,810.00","17,628.00","51,438.00","73,674.00",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,810.00","17,628.00","51,438.00","73,674.00"
Tabaco,1 nov - 31 dic,150,110,6.88,40,2.75,146.44,161.04,124.24,,,,,,,,23.65,98.84,"4,027.10","4,428.60","3,416.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.38,"2,718.10",1.00,"4,027.10","4,428.60","3,416.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.38,"2,718.10"
Tabaco,1 dic - 31 dic,150,110,6.88,60,4.13,108.03,158.37,153.14,103.11,,,,,,,,61.40,"4,456.24","6,532.76","6,317.03","4,253.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,532.75",1.00,"4,456.24","6,532.76","6,317.03","4,253.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,532.75"
Lechosa,1 abr - 31 dic,270,"1,412",88.25,40,35.30,,,,5.58,6.07,54.40,102.14,112.83,77.89,68.92,75.32,45.42,0.00,0.00,0.00,"1,969.74","2,142.71","19,203.20","36,055.42","39,828.99","27,495.17","24,328.76","26,587.96","16,033.26",1.00,0.00,0.00,0.00,"1,969.74","2,142.71","19,203.20","36,055.42","39,828.99","27,495.17","24,328.76","26,587.96","16,033.26"
Lechosa,1 may - 31 ene,270,"1,412",88.25,60,52.95,104.83,,,,7.36,18.42,58.83,68.51,75.95,68.83,85.16,113.76,"55,507.49",0.00,0.00,0.00,"3,897.12","9,753.39","31,150.49","36,276.05","40,215.53","36,445.49","45,092.22","60,235.92",1.00,"55,507.49",0.00,0.00,0.00,"3,897.12","9,753.39","31,150.49","36,276.05","40,215.53","36,445.49","45,092.22","60,235.92"
Melon,1 feb - 31 may,120,140,8.75,30,2.63,,58.53,107.30,116.50,51.56,,,,,,,,0.00,"1,536.41","2,816.63","3,058.13","1,353.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"1,536.41","2,816.63","3,058.13","1,353.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,1 mar - 30 jun,120,140,8.75,40,3.50,,,46.57,86.83,118.67,105.36,,,,,,,0.00,0.00,"1,629.95","3,039.05","4,153.45","3,687.60",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"1,629.95","3,039.05","4,153.45","3,687.60",0.00,0.00,0.00,0.00,0.00,0.00
Melon,1 abr - 31 jul,120,140,8.75,30,2.63,,,,11.65,86.00,135.00,110.31,,,,,,0.00,0.00,0.00,305.81,"2,257.50","3,543.75","2,895.64",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,305.81,"2,257.50","3,543.75","2,895.64",0.00,0.00,0.00,0.00,0.00
Mango,1 ene - 31 dic,365,"2,425",151.56,100,151.56,116.55,125.32,113.08,97.15,110.36,138.23,146.54,122.51,85.60,63.42,79.33,109.89,"176,646.09","189,938.13","171,386.88","147,242.97","167,264.38","209,504.84","222,099.69","185,679.22","129,737.50","96,120.94","120,234.53","166,552.03",1.00,"176,646.09","189,938.13","171,386.88","147,242.97","167,264.38","209,504.84","222,099.69","185,679.22","129,737.50","96,120.94","120,234.53","166,552.03"
Pasto Natural,1 ene - 31 dic,365,"13,658",853.63,100,853.63,110.45,118.16,105.18,82.65,83.74,106.34,117.99,97.36,62.49,46.92,71.81,104.06,"942,828.81","1,008,643.30","897,842.78","705,521.06","714,825.58","907,744.83","1,007,192.14","831,089.30","533,430.26","400,520.85","612,988.11","888,282.18",1.00,"942,828.81","1,008,643.30","897,842.78","705,521.06","714,825.58","907,744.83","1,007,192.14","831,089.30","533,430.26","400,520.85","612,988.11","888,282.18"
